cedula_simulada,nombre,apellido1,apellido2,fecha_nacimiento,sexo,ciudad,correo_simulado
SIM896233790,Rosa,Pérez,Martínez,1964-09-03,Femenino,Manizales,rosa.pérez.3790@ejemplo.com
SIM210053353,Gabriela,Sánchez,Pineda,2000-09-16,Femenino,Cali,gabriela.sánchez.3353@ejemplo.com
SIM131994523,Marisol,Núñez,Rodríguez,1948-05-28,Femenino,Pereira,marisol.núñez.4523@ejemplo.com
SIM128492780,Gabriela,Rincón,Palacios,1990-05-08,Femenino,Pereira,gabriela.rincón.2780@ejemplo.com
SIM685126461,Antonella,Cano,Suárez,1977-08-20,Femenino,Manizales,antonella.cano.6461@ejemplo.com
SIM969119330,Renata,Álvarez,Soto,1940-07-31,Femenino,Bucaramanga,renata.álvarez.9330@ejemplo.com
SIM398362082,Yamile,Núñez,Morales,1953-12-12,Femenino,Pereira,yamile.núñez.2082@ejemplo.com
SIM199585092,Irene,Morales,Hernández,1974-01-31,Femenino,Barranquilla,irene.morales.5092@ejemplo.com
SIM384027113,Manuela,Ortiz,Palacios,1943-11-24,Femenino,Girón,manuela.ortiz.7113@ejemplo.com
SIM184611066,Clara,Pérez,Jiménez,1989-07-11,Femenino,Ibagué,clara.pérez.1066@ejemplo.com
SIM719927151,Rosa,Vega,Cruz,1957-04-01,Femenino,Cali,rosa.vega.7151@ejemplo.com
SIM930075810,Catalina,Beltrán,Castro,1965-12-17,Femenino,Cali,catalina.beltrán.5810@ejemplo.com
SIM398471886,Gabriela,Hernández,Jiménez,1980-09-04,Femenino,Pasto,gabriela.hernández.1886@ejemplo.com
SIM324956459,Paula,Cruz,Ortiz,2000-02-15,Femenino,Cúcuta,paula.cruz.6459@ejemplo.com
SIM176667861,Yamile,Herrera,Cano,1994-08-25,Femenino,Bucaramanga,yamile.herrera.7861@ejemplo.com
SIM275452091,Clara,Valencia,Vargas,1981-06-21,Femenino,Villavicencio,clara.valencia.2091@ejemplo.com
SIM698020238,Margarita,Ramos,Suárez,1959-09-14,Femenino,Santa Marta,margarita.ramos.0238@ejemplo.com
SIM345938494,Pilar,Marín,González,1942-11-17,Femenino,Santa Marta,pilar.marín.8494@ejemplo.com
SIM326541099,Diana,Soto,López,1990-11-19,Femenino,Santa Marta,diana.soto.1099@ejemplo.com
SIM524806516,Alejandra,Cano,Mejía,1997-09-02,Femenino,Girón,alejandra.cano.6516@ejemplo.com
SIM364814270,Daniela,Mendoza,Sánchez,2006-11-01,Femenino,Cúcuta,daniela.mendoza.4270@ejemplo.com
SIM726563708,Noemí,Álvarez,Núñez,1975-10-31,Femenino,Pasto,noemí.álvarez.3708@ejemplo.com
SIM629908599,Gabriela,Sánchez,Rincón,1948-02-26,Femenino,Medellín,gabriela.sánchez.8599@ejemplo.com
SIM271779360,Camila,Ramírez,Ramos,2001-01-18,Femenino,Soacha,camila.ramírez.9360@ejemplo.com
SIM509760584,Fabiola,López,Jiménez,1993-06-17,Femenino,Girón,fabiola.lópez.0584@ejemplo.com
SIM112327652,Inés,Mendoza,Camacho,2001-01-11,Femenino,Barranquilla,inés.mendoza.7652@ejemplo.com
SIM386501362,Nathalia,Ferrer,Guerra,1997-07-03,Femenino,Santa Marta,nathalia.ferrer.1362@ejemplo.com
SIM269820594,Camila,Silva,Núñez,1980-09-14,Femenino,Bogotá,camila.silva.0594@ejemplo.com
